Page Name	Page URL	Ad Group ID	Ad ID	Ad Text	Photo/Video ID	Ad Impressions	Ad Impressions Range high	Ad Impressions Range low	Ad Impressions Range avg	Ad Group Age Gender Reach 18-24 female	Ad Group Age Gender Reach 18-24 male	Ad Group Age Gender Reach 18-24 unknown	Ad Group Age Gender Reach 25-34 female	Ad Group Age Gender Reach 25-34 male	Ad Group Age Gender Reach 25-34 unknown	Ad Group Age Gender Reach 35-44 female	Ad Group Age Gender Reach 35-44 male	Ad Group Age Gender Reach 35-44 unknown	Ad Group Age Gender Reach 45-54 female	Ad Group Age Gender Reach 45-54 male	Ad Group Age Gender Reach 45-54 unknown	Ad Group Age Gender Reach 55-64 female	Ad Group Age Gender Reach 55-64 male	Ad Group Age Gender Reach 55-64 unknown	Ad Group Age Gender Reach 65+ female	Ad Group Age Gender Reach 65+ male	Ad Group Age Gender Reach 65+ unknown	Ad Group Age Gender Reach Avg Volume 18-24 female	Ad Group Age Gender Reach Avg Volume 18-24 male	Ad Group Age Gender Reach Avg Volume 18-24 unknown	Ad Group Age Gender Reach Avg Volume 25-34 female	Ad Group Age Gender Reach Avg Volume 25-34 male	Ad Group Age Gender Reach Avg Volume 25-34 unknown	Ad Group Age Gender Reach Avg Volume 35-44 female	Ad Group Age Gender Reach Avg Volume 35-44 male	Ad Group Age Gender Reach Avg Volume 35-44 unknown	Ad Group Age Gender Reach Avg Volume 45-54 female	Ad Group Age Gender Reach Avg Volume 45-54 male	Ad Group Age Gender Reach Avg Volume 45-54 unknown	Ad Group Age Gender Reach Avg Volume 55-64 female	Ad Group Age Gender Reach Avg Volume 55-64 male	Ad Group Age Gender Reach Avg Volume 55-64 unknown	Ad Group Age Gender Reach Avg Volume 65+ female	Ad Group Age Gender Reach Avg Volume 65+ male	Ad Group Age Gender Reach Avg Volume 65+ unknown	Ad Group Region Reach England	Ad Group Region Reach Northern Ireland	Ad Group Region Reach Scotland	Ad Group Region Reach Wales	Ad Start Date	Ad Start Date String	Ad End Date	Ad End Date String
50 Million	https://www.facebook.com/50MillionUK/	629	1437	"The Euros are almost here and we are giving away £50 MILLION to anyone who can guess the winners!. This is a once in a life time opportunity to get rich and you don't even have to get the scores right! What would you do with £50 million? Get started now, it's free, fun to play and the prize is guaranteed! Win £50m Now for Free! 50 Million"	2873	0-999	999	0	499	5%	17%	<1%	7%	22%	<1%	7%	13%	<1%	8%	9%	<1%	4%	4%	<1%	2%	2%	<1%	90	90	0	125	125	0	175	175	0	225	225	0	274	274	0	324	324	0	83%	3%	8%	6%	Tue May 24 2016 00:00:00 GMT+0100 (BST)	5/24/16		
50 Million	https://www.facebook.com/50MillionUK/	629	1438	"The Euros are almost here and we are giving away £50 MILLION to anyone who can guess the winners!. This is a once in a life time opportunity to get rich and you don't even have to get the scores right! What would you do with £50 million? Get started now, it's free, fun to play and the prize is guaranteed! Win £50m Now for Free! 50 Million"	2873	0-999	999	0	499	5%	17%	<1%	7%	22%	<1%	7%	13%	<1%	8%	9%	<1%	4%	4%	<1%	2%	2%	<1%	90	90	0	125	125	0	175	175	0	225	225	0	274	274	0	324	324	0	83%	3%	8%	6%	Tue May 24 2016 00:00:00 GMT+0100 (BST)	5/24/16		
50 Million	https://www.facebook.com/50MillionUK/	629	1439	"The Euros are almost here and we are giving away £50 MILLION to anyone who can guess the winners!. This is a once in a life time opportunity to get rich and you don't even have to get the scores right! What would you do with £50 million? Get started now, it's free, fun to play and the prize is guaranteed! Win £50m Now for Free! 50 Million"	2873	50000-99999	99999	50000	74999	5%	17%	<1%	7%	22%	<1%	7%	13%	<1%	8%	9%	<1%	4%	4%	<1%	2%	2%	<1%	13500	13500	0	18750	18750	0	26250	26250	0	33750	33750	0	41249	41249	0	48749	48749	0	83%	3%	8%	6%	Tue May 24 2016 00:00:00 GMT+0100 (BST)	5/24/16		
50 Million	https://www.facebook.com/50MillionUK/	629	1440	"The Euros are almost here and we are giving away £50 MILLION to anyone who can guess the winners!. This is a once in a life time opportunity to get rich and you don't even have to get the scores right! What would you do with £50 million? Get started now, it's free, fun to play and the prize is guaranteed! Win £50m Now for Free! 50 Million"	2873	200000-499999	499999	200000	349999	5%	17%	<1%	7%	22%	<1%	7%	13%	<1%	8%	9%	<1%	4%	4%	<1%	2%	2%	<1%	63000	63000	0	87500	87500	0	122500	122500	0	157500	157500	0	192499	192499	0	227499	227499	0	83%	3%	8%	6%	Tue May 24 2016 00:00:00 GMT+0100 (BST)	5/24/16		
50 Million	https://www.facebook.com/50MillionUK/	629	1441	"The Euros are almost here and we are giving away £50 MILLION to anyone who can guess the winners!. This is a once in a life time opportunity to get rich and you don't even have to get the scores right! What would you do with £50 million? Get started now, it's free, fun to play and the prize is guaranteed! Win £50m Now for Free! 50 Million"	2873	200000-499999	499999	200000	349999	5%	17%	<1%	7%	22%	<1%	7%	13%	<1%	8%	9%	<1%	4%	4%	<1%	2%	2%	<1%	63000	63000	0	87500	87500	0	122500	122500	0	157500	157500	0	192499	192499	0	227499	227499	0	83%	3%	8%	6%	Tue May 24 2016 00:00:00 GMT+0100 (BST)	5/24/16		
50 Million	https://www.facebook.com/50MillionUK/	629	1442	"The Euros are almost here and we are giving away £50 MILLION to anyone who can guess the winners!. This is a once in a life time opportunity to get rich and you don't even have to get the scores right! What would you do with £50 million? Get started now, it's free, fun to play and the prize is guaranteed! Win £50m Now for Free! 50 Million"	2873	20000-49999	49999	20000	34999	5%	17%	<1%	7%	22%	<1%	7%	13%	<1%	8%	9%	<1%	4%	4%	<1%	2%	2%	<1%	6300	6300	0	8750	8750	0	12250	12250	0	15750	15750	0	19249	19249	0	22749	22749	0	83%	3%	8%	6%	Tue May 24 2016 00:00:00 GMT+0100 (BST)	5/24/16		
50 Million	https://www.facebook.com/50MillionUK/	633	1443	"The Euros are almost here and you probably already think you know which team will win. Click here to predict the winners for a chance to win £50 million! Click here to get started for a chance of winning the guaranteed £50 million! Just pick the winning teams. You don't even have to guess the scores right!  It's Free to Enter - Play Now! 50 Million"	2874	0-999	999	0	499	3%	20%	<1%	5%	25%	<1%	5%	16%	<1%	4%	11%	<1%	2%	4%	<1%	<1%	3%	<1%	90	90	0	125	125	0	175	175	0	225	225	0	274	274	0	0	324	0	83%	3%	8%	6%	Tue May 24 2016 00:00:00 GMT+0100 (BST)	5/24/16		
50 Million	https://www.facebook.com/50MillionUK/	633	1444	"The Euros are almost here and you probably already think you know which team will win. Click here to predict the winners for a chance to win £50 million! Click here to get started for a chance of winning the guaranteed £50 million! Just pick the winning teams. You don't even have to guess the scores right!  It's Free to Enter - Play Now! 50 Million"	2874	0-999	999	0	499	3%	20%	<1%	5%	25%	<1%	5%	16%	<1%	4%	11%	<1%	2%	4%	<1%	<1%	3%	<1%	90	90	0	125	125	0	175	175	0	225	225	0	274	274	0	0	324	0	83%	3%	8%	6%	Tue May 24 2016 00:00:00 GMT+0100 (BST)	5/24/16		
50 Million	https://www.facebook.com/50MillionUK/	633	1445	"The Euros are almost here and you probably already think you know which team will win. Click here to predict the winners for a chance to win £50 million! Click here to get started for a chance of winning the guaranteed £50 million! Just pick the winning teams. You don't even have to guess the scores right!  It's Free to Enter - Play Now! 50 Million"	2874	200000-499999	499999	200000	349999	3%	20%	<1%	5%	25%	<1%	5%	16%	<1%	4%	11%	<1%	2%	4%	<1%	<1%	3%	<1%	63000	63000	0	87500	87500	0	122500	122500	0	157500	157500	0	192499	192499	0	0	227499	0	83%	3%	8%	6%	Tue May 24 2016 00:00:00 GMT+0100 (BST)	5/24/16		
50 Million	https://www.facebook.com/50MillionUK/	633	1446	"The Euros are almost here and you probably already think you know which team will win. Click here to predict the winners for a chance to win £50 million! Click here to get started for a chance of winning the guaranteed £50 million! Just pick the winning teams. You don't even have to guess the scores right!  It's Free to Enter - Play Now! 50 Million"	2874	200000-499999	499999	200000	349999	3%	20%	<1%	5%	25%	<1%	5%	16%	<1%	4%	11%	<1%	2%	4%	<1%	<1%	3%	<1%	63000	63000	0	87500	87500	0	122500	122500	0	157500	157500	0	192499	192499	0	0	227499	0	83%	3%	8%	6%	Tue May 24 2016 00:00:00 GMT+0100 (BST)	5/24/16		
